Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Name Title
0,Lowest,female,,1,0,14.4583,C, Mrs
1,Lowest,male,32,0,0,7.925,S, Mr
1,Middle,female,25,1,1,30,S, Miss
1,First,female,39,1,1,110.8833,C, Mrs
0,Middle,male,54,0,0,26,S, Mr
0,First,male,36,0,0,40.125,C, Mr
0,Lowest,male,,0,0,8.7125,C, Mr
1,First,female,18,0,1,79.65,S, Miss
0,Middle,male,47,0,0,15,S, Mr
1,First,male,60,1,1,79.2,C, Mr
0,Lowest,male,22,0,0,8.05,S, Mr
0,Lowest,male,,0,0,8.05,S, Mr
0,Lowest,male,35,0,0,7.125,S, Mr
1,First,female,52,1,0,78.2667,C, Mrs
0,Lowest,male,47,0,0,7.25,S, Mr
0,Lowest,female,,0,1,7.75,Q, Miss
0,Middle,male,37,1,0,26,S, Mr
0,Lowest,male,36,1,1,24.15,S, Mr
1,Middle,female,,0,0,33,S, Miss
0,Lowest,male,49,0,0,0,S, Mr
0,Lowest,male,,0,0,7.225,C, Mr
1,First,male,49,1,0,56.9292,C, Sir
1,Middle,female,24,1,1,27,S, Mrs
0,Lowest,male,,0,0,7.8958,S, Mr
0,First,male,,0,0,42.4,S, Mr
0,Lowest,male,44,0,0,8.05,S, Mr
1,First,male,35,0,0,26.55,C, Mr
0,Lowest,male,36,1,0,15.55,S, Mr
0,Lowest,male,30,0,0,7.8958,S, Mr
1,First,male,27,0,0,30.5,S, Mr
1,Middle,female,22,1,1,41.5792,C, Mrs
1,First,female,40,0,0,153.4625,S, Miss
0,Lowest,female,39,1,1,31.275,S, Mrs
0,Lowest,male,,0,0,7.05,S, Mr
1,Lowest,female,,1,0,15.5,Q, Miss
0,Lowest,male,,0,0,7.75,Q, Mr
0,Lowest,male,35,0,0,8.05,S, Mr
1,Middle,female,24,1,1,65,S, Miss
0,Lowest,male,34,1,1,14.4,S, Mr
0,Lowest,female,26,1,0,16.1,S, Mrs
1,Middle,female,4,1,1,39,S, Miss
0,Middle,male,26,0,0,10.5,S, Mr
0,Lowest,male,27,1,0,14.4542,C, Mr
1,First,male,42,1,0,52.5542,S, Mr
1,Lowest,male,20,1,1,15.7417,C, Mr
0,Lowest,male,21,0,0,7.8542,S, Mr
0,Lowest,male,21,0,0,16.1,S, Mr
0,First,male,61,0,0,32.3208,S, Mr
0,Middle,male,57,0,0,12.35,Q, Rev
1,First,female,21,0,0,77.9583,S, Miss
0,Lowest,male,26,0,0,7.8958,S, Mr
0,Lowest,male,,0,0,7.7333,Q, Mr
1,First,male,80,0,0,30,S, Mr
0,Lowest,male,51,0,0,7.0542,S, Mr
1,First,male,32,0,0,30.5,C, Dr
0,First,male,,0,0,0,S, Mr
0,Lowest,female,9,1,1,27.9,S, Miss
1,Middle,female,28,0,0,13,S, Miss
0,Lowest,male,32,0,0,7.925,S, Mr
0,Middle,male,31,1,1,26.25,S, Mr
0,Lowest,female,41,0,1,39.6875,S, Mrs
0,Lowest,male,,1,0,16.1,S, Mr
0,Lowest,male,20,0,0,7.8542,S, Mr
1,First,female,24,0,0,69.3,C, Mlle
0,Lowest,female,2,1,1,27.9,S, Miss
1,Lowest,male,,0,0,56.4958,S, Mr
1,Lowest,female,0.75,1,1,19.2583,C, Miss
1,First,male,48,1,0,76.7292,C, Mr
0,Lowest,male,19,0,0,7.8958,S, Mr
1,First,male,56,0,0,35.5,C, Col
0,Lowest,male,,0,0,7.55,S, Mr
1,Lowest,female,23,0,0,7.55,S, Miss
0,Lowest,male,,0,0,7.8958,S, Mr
1,Middle,female,18,0,1,23,S, Miss
0,Lowest,male,21,0,0,8.4333,S, Mr
1,Lowest,female,,0,0,7.8292,Q, Miss
0,Lowest,female,18,0,0,6.75,Q, Miss
0,Middle,male,24,1,0,73.5,S, Mr
0,Lowest,male,,0,0,7.8958,S, Mr
0,Lowest,female,32,1,1,15.5,Q, Mrs
0,Middle,male,23,0,0,13,S, Mr
0,First,male,58,0,1,113.275,C, Mr
1,First,male,50,1,0,133.65,S, Dr
0,Lowest,male,40,0,0,7.225,C, Mr
0,First,male,47,0,0,25.5875,S, Mr
0,Lowest,male,36,0,0,7.4958,S, Mr
1,Lowest,male,20,1,0,7.925,S, Mr
0,Middle,male,32,1,0,73.5,S, Mr
0,Middle,male,25,0,0,13,S, Mr
0,Lowest,male,,0,0,7.775,S, Mr
0,Lowest,male,43,0,0,8.05,S, Mr
1,First,female,,1,0,52,S, Mrs
1,Middle,female,40,1,1,39,S, Mrs
0,First,male,31,1,0,52,S, Mr
0,Middle,male,70,0,0,10.5,S, Mr
1,Middle,male,31,0,0,13,S, Mr
0,Middle,male,,0,0,0,S, Mr
0,Lowest,male,18,0,0,7.775,S, Mr
0,Lowest,male,24.5,0,0,8.05,S, Mr
1,Lowest,female,18,0,0,9.8417,S, Miss
0,Lowest,female,43,1,1,46.9,S, Mrs
1,First,male,36,0,1,512.3292,C, Mr
0,Lowest,female,,0,0,8.1375,Q, Miss
1,First,male,27,0,0,76.7292,C, Mr
0,Lowest,male,20,0,0,9.225,S, Mr
0,Lowest,male,14,1,1,46.9,S, Mr
0,Middle,male,60,1,1,39,S, Mr
0,Middle,male,25,1,1,41.5792,C, Mr
0,Lowest,male,14,1,1,39.6875,S, Mr
0,Lowest,male,19,0,0,10.1708,S, Mr
0,Lowest,male,18,0,0,7.7958,S, Mr
1,First,female,15,0,1,211.3375,S, Miss
1,First,male,31,1,0,57,S, Mr
1,Lowest,female,4,0,1,13.4167,C, Miss
1,Lowest,male,,0,0,56.4958,S, Mr
0,Lowest,male,25,0,0,7.225,C, Mr
0,First,male,60,0,0,26.55,S, Col
0,Middle,male,52,0,0,13.5,S, Mr
0,Lowest,male,44,0,0,8.05,S, Mr
1,Lowest,female,,0,0,7.7333,Q, Miss
0,First,male,49,1,1,110.8833,C, Mr
0,Lowest,male,42,0,0,7.65,S, Mr
1,First,female,18,1,0,227.525,C, Mrs
1,First,male,35,0,0,26.2875,S, Mr
0,Lowest,female,18,0,1,14.4542,C, Miss
0,Lowest,male,25,0,0,7.7417,Q, Mr
0,Lowest,male,26,1,0,7.8542,S, Mr
0,Middle,male,39,0,0,26,S, Mr
1,Middle,female,45,0,0,13.5,S, Mrs
1,First,male,42,0,0,26.2875,S, Mr
1,First,female,22,0,0,151.55,S, Miss
1,Lowest,male,,1,1,15.2458,C, Master
1,First,female,24,0,0,49.5042,C, Mlle
0,First,male,,0,0,26.55,S, Mr
1,First,male,48,1,0,52,S, Mr
0,Lowest,male,29,0,0,9.4833,S, Mr
0,Middle,male,52,0,0,13,S, Mr
0,Lowest,male,19,0,0,7.65,S, Mr
1,First,female,38,0,0,227.525,C, Miss
1,Middle,female,27,0,0,10.5,S, Miss
0,Lowest,male,,0,0,15.5,Q, Mr
0,Lowest,male,33,0,0,7.775,S, Mr
1,Middle,female,6,0,1,33,S, Miss
0,Lowest,male,17,1,0,7.0542,S, Mr
0,Middle,male,34,0,0,13,S, Mr
0,Middle,male,50,0,0,13,S, Mr
1,First,male,27,1,0,53.1,S, Mr
0,Lowest,male,20,0,0,8.6625,S, Mr
1,Middle,female,30,1,0,21,S, Mrs
1,Lowest,female,,0,0,7.7375,Q, Miss
0,Middle,male,25,1,0,26,S, Mr
0,Lowest,female,25,1,0,7.925,S, Miss
1,First,female,29,0,0,211.3375,S, Miss
0,Lowest,male,11,0,0,18.7875,C, Mr
0,Middle,male,,0,0,0,S, Mr
0,Middle,male,23,0,0,13,S, Mr
0,Middle,male,23,0,0,13,S, Mr
0,Lowest,male,28.5,0,0,16.1,S, Mr
0,Lowest,female,48,1,1,34.375,S, Mrs
1,First,male,35,0,0,512.3292,C, Mr
0,Lowest,male,,0,0,7.8958,S, Mr
0,Lowest,male,,0,0,7.8958,S, Mr
1,First,male,,0,0,30,S, Mr
0,First,male,36,1,0,78.85,S, Mr
1,First,female,21,1,1,262.375,C, Miss
0,Lowest,male,24,1,0,16.1,S, Mr
1,Lowest,male,31,0,0,7.925,S, Mr
0,First,male,70,1,1,71,S, Capt
0,Lowest,male,16,1,1,20.25,S, Mr
1,Middle,female,30,0,0,13,S, Miss
0,First,male,19,1,0,53.1,S, Mr
0,Lowest,male,31,0,0,7.75,Q, Mr
1,Middle,female,4,1,1,23,S, Miss
1,Lowest,male,6,0,1,12.475,S, Master
0,Lowest,male,33,0,0,9.5,S, Mr
0,Lowest,male,23,0,0,7.8958,S, Mr
1,Middle,female,48,1,1,65,S, Mrs
1,Middle,male,0.67,1,1,14.5,S, Master
0,Lowest,male,28,0,0,7.7958,S, Mr
0,Middle,male,18,0,0,11.5,S, Mr
0,Lowest,male,34,0,0,8.05,S, Mr
1,First,female,33,0,0,86.5,S, the Countess
0,Lowest,male,,0,0,14.5,S, Mr
0,Lowest,male,41,0,0,7.125,S, Mr
1,Lowest,male,20,0,0,7.2292,C, Mr
1,First,female,36,1,1,120,S, Mrs
0,Lowest,male,16,0,0,7.775,S, Mr
1,First,female,51,1,0,77.9583,S, Mrs
0,First,male,,0,0,39.6,C, Dr
0,Lowest,female,30.5,0,0,7.75,Q, Miss
0,Lowest,male,,1,0,24.15,Q, Mr
0,Lowest,male,32,0,0,8.3625,S, Mr
0,Lowest,male,24,0,0,9.5,S, Mr
0,Lowest,male,48,0,0,7.8542,S, Mr
0,Middle,female,57,0,0,10.5,S, Mrs
0,Lowest,male,,0,0,7.225,C, Mr
1,Middle,female,54,1,1,23,S, Mrs
0,Lowest,male,18,0,0,7.75,S, Mr
0,Lowest,male,,0,0,7.75,Q, Mr
1,Lowest,female,5,0,0,12.475,S, Miss
0,Lowest,male,,0,0,7.7375,Q, Mr
1,First,female,43,0,1,211.3375,S, Mrs
1,Lowest,female,13,0,0,7.2292,C, Miss
1,First,female,17,1,0,57,S, Mrs
0,First,male,29,0,0,30,S, Mr
0,Lowest,male,,1,1,23.45,S, Mr
0,Lowest,male,25,0,0,7.05,S, Mr
0,Lowest,male,25,0,0,7.25,S, Mr
1,Lowest,female,18,0,0,7.4958,S, Miss
0,Lowest,male,8,1,1,29.125,Q, Master
1,Lowest,male,1,1,1,20.575,S, Master
0,First,male,46,0,0,79.2,C, Mr
0,Lowest,male,,0,0,7.75,Q, Mr
0,Middle,male,16,0,0,26,S, Mr
0,Lowest,female,,1,1,69.55,S, Miss
0,First,male,,0,0,30.6958,C, Mr
0,Lowest,male,25,0,0,7.8958,S, Mr
0,Middle,male,39,0,0,13,S, Mr
1,First,female,49,0,0,25.9292,S, Dr
1,Lowest,female,31,0,0,8.6833,S, Mrs
0,Lowest,male,30,0,0,7.2292,C, Mr
0,Lowest,female,30,1,1,24.15,S, Mrs
0,Middle,male,34,0,0,13,S, Mr
1,Middle,female,31,1,1,26.25,S, Mrs
1,First,male,11,1,1,120,S, Master
1,Lowest,male,0.42,0,1,8.5167,C, Master
1,Lowest,male,27,0,0,6.975,S, Mr
0,Lowest,male,31,0,0,7.775,S, Mr
0,First,male,39,0,0,0,S, Mr
0,Lowest,female,18,0,0,7.775,S, Miss
0,Middle,male,39,0,0,13,S, Mr
1,First,female,33,1,0,53.1,S, Mrs
0,Lowest,male,26,0,0,7.8875,S, Mr
0,Lowest,male,39,0,0,24.15,S, Mr
0,Middle,male,35,0,0,10.5,S, Mr
0,Lowest,female,6,1,1,31.275,S, Miss
0,Lowest,male,30.5,0,0,8.05,S, Mr
0,First,male,,0,0,0,S, Mr
0,Lowest,female,23,0,0,7.925,S, Miss
0,Middle,male,31,1,1,37.0042,C, Mr
0,Lowest,male,43,0,0,6.45,S, Mr
0,Lowest,male,10,1,1,27.9,S, Master
1,First,female,52,1,1,93.5,S, Mrs
1,Lowest,male,27,0,0,8.6625,S, Mr
0,First,male,38,0,0,0,S, Jonkheer
1,Lowest,female,27,0,1,12.475,S, Mrs
0,Lowest,male,2,1,1,39.6875,S, Master
0,Lowest,male,,0,0,6.95,Q, Mr
0,Lowest,male,,0,0,56.4958,S, Mr
1,Middle,male,1,0,1,37.0042,C, Master
1,Lowest,male,,0,0,7.75,Q, Mr
1,First,female,62,0,0,80,null, Mrs
1,Lowest,female,15,1,0,14.4542,C, Mrs
1,Middle,male,0.83,1,1,18.75,S, Master
0,Lowest,male,,0,0,7.2292,C, Mr
0,Lowest,male,23,0,0,7.8542,S, Mr
0,Lowest,male,18,0,0,8.3,S, Mr
1,First,female,39,1,1,83.1583,C, Miss
0,Lowest,male,21,0,0,8.6625,S, Mr
0,Lowest,male,,0,0,8.05,S, Mr
1,Lowest,male,32,0,0,56.4958,S, Mr
1,First,male,,0,0,29.7,C, Mr
0,Lowest,male,20,0,0,7.925,S, Mr
0,Middle,male,16,0,0,10.5,S, Mr
1,First,female,30,0,0,31,C, Miss
0,Lowest,male,34.5,0,0,6.4375,C, Mr
0,Lowest,male,17,0,0,8.6625,S, Mr
0,Lowest,male,42,0,0,7.55,S, Mr
0,Lowest,male,,1,1,69.55,S, Mr
0,Lowest,male,35,0,0,7.8958,C, Mr
0,Middle,male,28,0,1,33,S, Rev
1,First,female,,1,0,89.1042,C, Mrs
0,Lowest,male,4,1,1,31.275,S, Master
0,Lowest,male,74,0,0,7.775,S, Mr
0,Lowest,female,9,1,1,15.2458,C, Miss
1,First,female,16,0,1,39.4,S, Miss
0,Middle,female,44,1,0,26,S, Mrs
1,Lowest,female,18,0,1,9.35,S, Mrs
1,First,female,45,1,1,164.8667,S, Mrs
1,First,male,51,0,0,26.55,S, Mr
1,Lowest,female,24,0,1,19.2583,C, Mrs
0,Lowest,male,,0,0,7.2292,C, Mr
0,Lowest,male,41,1,0,14.1083,S, Mr
0,Middle,male,21,1,0,11.5,S, Mr
1,First,female,48,0,0,25.9292,S, Mrs
0,Lowest,female,,1,1,69.55,S, Miss
0,Middle,male,24,0,0,13,S, Mr
1,Middle,female,42,0,0,13,S, Mrs
1,Middle,female,27,1,0,13.8583,C, Miss
0,First,male,31,0,0,50.4958,S, Mr
0,Lowest,male,,0,0,9.5,S, Mr
1,Lowest,male,4,1,1,11.1333,S, Master
0,Lowest,male,26,0,0,7.8958,S, Mr
1,First,female,47,1,1,52.5542,S, Mrs
0,First,male,33,0,0,5,S, Mr
0,Lowest,male,47,0,0,9,S, Mr
1,Middle,female,28,1,0,24,C, Mrs
1,Lowest,female,15,0,0,7.225,C, Miss
0,Lowest,male,20,0,0,9.8458,S, Mr
0,Lowest,male,19,0,0,7.8958,S, Mr
0,Lowest,male,,0,0,7.8958,S, Mr
1,First,female,56,0,1,83.1583,C, Mrs
1,Middle,female,25,0,1,26,S, Mrs
0,Lowest,male,33,0,0,7.8958,S, Mr
0,Lowest,female,22,0,0,10.5167,S, Miss
0,Middle,male,28,0,0,10.5,S, Mr
0,Lowest,male,25,0,0,7.05,S, Mr
0,Lowest,female,39,0,1,29.125,Q, Mrs
0,Middle,male,27,0,0,13,S, Rev
1,First,female,19,0,0,30,S, Miss
0,Lowest,female,,1,1,23.45,S, Miss
1,First,male,26,0,0,30,C, Mr
0,Lowest,male,32,0,0,7.75,Q, Mr
